number,value,state,params_cnn_dropout,params_cnn_first,params_head_dropout,params_head_hidden,params_kernel_size,params_lr,params_lstm_hidden,params_lstm_layers,params_n_cnn_blocks,params_weight_decay
0,0.6674333710029534,COMPLETE,0.21742508365045984,8,0.3637017332034828,16,3,0.00042357316154101863,16,1,2,2.8465263577610925e-05
1,0.6815506299088969,COMPLETE,0.2876433945605654,8,0.3139351238159993,32,5,0.0009499106760020678,48,1,2,2.644898018392709e-05
2,0.6825668841999146,COMPLETE,0.40526990795364704,16,0.49875668530619455,16,3,0.0005419294281602743,48,1,2,0.0001942099825171803
3,0.6735543033698725,COMPLETE,0.3793699936433256,16,0.38140470953216876,32,5,0.0014451912800065665,16,1,3,7.651053666754187e-05
4,0.6392955491871606,COMPLETE,0.4316734307889972,8,0.3222133955202271,32,7,0.00059219440758969,48,2,2,1.936518766909304e-05
5,0.622953363627754,COMPLETE,0.41888185350141927,8,0.46838315927084884,32,7,0.0012951732117534559,32,1,3,0.000167182789476516
6,0.6679642326991498,COMPLETE,0.294306794322898,8,0.3230939729486379,16,7,0.0005198164386340911,32,1,3,2.5082145184394066e-05
7,0.49699452993296644,COMPLETE,0.4677676995469933,8,0.42813233658787686,32,3,0.0014160897216868229,48,1,3,0.0013556076855136886
8,0.6397780083863865,COMPLETE,0.48287291117375575,8,0.3755346887476092,16,7,0.0007705638754633958,48,1,2,5.5630383817388924e-05
9,0.6771953751825769,COMPLETE,0.4724797657899961,16,0.5284858845986152,32,3,0.00047088288369594606,48,2,2,0.0006366198782195172
10,0.6831295573961371,COMPLETE,0.3308972509177144,16,0.5874622961695898,16,3,0.00033343608982688627,16,2,2,0.0003931465797767564
11,0.6828627643396757,COMPLETE,0.33365420433945825,16,0.5996100901151366,16,3,0.0003058472533133549,16,2,2,0.00039798317901943066
12,0.6806483674385886,COMPLETE,0.33245383170019865,16,0.5988049595242306,16,3,0.00032514492523218045,16,2,2,0.00044962275651963594
13,0.6827926637220649,COMPLETE,0.32736707654171243,16,0.5896013838196366,16,3,0.0003080563520467382,16,2,2,0.002932613668380117
14,0.6945712276049348,COMPLETE,0.24966688441561335,16,0.5507594511752525,16,3,0.00037528048316509655,16,2,2,0.0003858490722444708
15,0.6877743946160322,COMPLETE,0.2205504796732503,16,0.5481364250681111,16,3,0.00038801499491266923,16,2,2,0.000896614394676111
16,0.6997044289947363,COMPLETE,0.20291504083919099,16,0.5415084558515536,16,5,0.0019068409056757288,16,2,2,0.0010383914637635424
17,0.7017768904398379,COMPLETE,0.25341368368005,16,0.5375842638224962,16,5,0.0017907876832121729,16,2,3,0.0018466740215510558
18,0.6913128312545598,COMPLETE,0.2604090862768649,16,0.4897891178286955,16,5,0.0019948955974656095,32,2,3,0.002799622456271514
19,0.7194337067264207,COMPLETE,0.20128015344925704,16,0.4296827414119152,16,5,0.0019767739643993926,16,2,3,0.0014212366682751377
20,0.7035970715976723,COMPLETE,0.2481426833969754,16,0.4192431798822404,16,5,0.0011092342784520112,16,2,3,0.001660439112007783
21,0.6914198201968825,COMPLETE,0.24820442936467035,16,0.45752352998365386,16,5,0.0011149851550434245,16,2,3,0.0017399429250746449
22,0.6926170847356135,COMPLETE,0.288856276884457,16,0.42419586252081054,16,5,0.0016564102731960186,16,2,3,0.0019494191472507248
23,0.6899202139370821,COMPLETE,0.23404613520414946,16,0.4128369721440046,16,5,0.0010882514703822953,16,2,3,0.0008097191316047983
24,0.720238052166841,COMPLETE,0.20027968126905468,16,0.4024646756450459,16,5,0.001649184589567592,16,2,3,0.0015862776574507062
